SW Version,2019.2.1
GT Type,UltraScale GTH
Date and Time Started,2020-Aug-05 16:22:41
Date and Time Ended,2020-Aug-05 16:22:43
Scan Name,Scan 163
Link Settings,
Reset RX After Applying Settings,false
Open Area,0
Horizontal Opening,0
Horizontal Percentage,0.00
Vertical Opening,0
Vertical Percentage,0.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0xC006 SVN: 16357
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.654535,0.691672,0.687874,0.660527,0.678354,0.633341,0.671906,0.687216,0.656706
112,0.66348,0.659593,0.6786,0.658112,0.656835,0.646837,0.659102,0.670348,0.67754
104,0.67292,0.669584,0.670745,0.675737,0.676194,0.656626,0.665783,0.682326,0.686804
96,0.699341,0.680035,0.678675,0.655899,0.662113,0.652306,0.658891,0.693283,0.673343
88,0.670713,0.688994,0.665418,0.672273,0.680285,0.673823,0.669598,0.697299,0.671185
80,0.667944,0.660456,0.674939,0.683419,0.662807,0.674532,0.647587,0.685231,0.66819
72,0.6689,0.678612,0.670741,0.656845,0.668367,0.675456,0.668773,0.666145,0.653768
64,0.671031,0.687574,0.670583,0.659409,0.66791,0.662873,0.664591,0.67068,0.67157
56,0.679017,0.67769,0.666827,0.656371,0.682242,0.665961,0.661291,0.677823,0.674564
48,0.656734,0.666097,0.638145,0.641014,0.651128,0.660558,0.667473,0.6807,0.672305
40,0.643107,0.637129,0.60926,0.626245,0.636353,0.66167,0.64397,0.642789,0.662275
32,0.578207,0.550445,0.56571,0.583837,0.569908,0.596994,0.608533,0.605268,0.639331
24,0.499589,0.504831,0.50445,0.507114,0.486504,0.516774,0.532892,0.560037,0.583059
16,0.435623,0.398872,0.375066,0.372858,0.347736,0.372637,0.392632,0.448772,0.471929
8,0.296128,0.256364,0.232568,0.181862,0.162543,0.180993,0.226615,0.335562,0.366689
0,0.213528,0.172302,0.139845,0.0870054,0.0451414,0.0643748,0.132092,0.225732,0.298282
-8,0.205329,0.15629,0.127188,0.0795811,0.0766212,0.0923229,0.138915,0.214198,0.28289
-16,0.236839,0.191176,0.166135,0.157686,0.18074,0.197322,0.20702,0.248005,0.283277
-24,0.27457,0.242656,0.227832,0.222322,0.26747,0.268184,0.26872,0.273642,0.284674
-32,0.288149,0.279695,0.261507,0.275366,0.303995,0.308874,0.304291,0.299313,0.300643
-40,0.297582,0.298541,0.298281,0.299531,0.332775,0.327913,0.322691,0.312593,0.317059
-48,0.311385,0.309988,0.322953,0.315384,0.336521,0.341646,0.328753,0.327085,0.31839
-56,0.326028,0.314871,0.325328,0.322594,0.340975,0.329158,0.333957,0.32464,0.330595
-64,0.335624,0.319529,0.329015,0.318113,0.335706,0.329169,0.325946,0.333411,0.337603
-72,0.331886,0.328044,0.324955,0.317609,0.353897,0.327787,0.327653,0.326673,0.329088
-80,0.332487,0.327733,0.3245,0.326008,0.356924,0.328665,0.335792,0.329974,0.331768
-88,0.328852,0.331624,0.326924,0.326673,0.339263,0.335973,0.319736,0.324635,0.328956
-96,0.327328,0.329062,0.319252,0.326289,0.34899,0.33187,0.329014,0.328507,0.327378
-104,0.334345,0.326919,0.334589,0.326403,0.350719,0.32623,0.330728,0.329832,0.32496
-112,0.330163,0.332717,0.327169,0.332531,0.352723,0.326905,0.326988,0.327002,0.331981
-120,0.335643,0.324834,0.33079,0.333187,0.343323,0.33124,0.326884,0.335019,0.312925
Scan End
